Samples	562	744	92.1140	-2.3001	77.3936	-1.6857
Samples	562	744	92.5448	-2.1816	77.8301	-1.7909
Samples	562	744	92.9598	-1.9983	78.2780	-1.8455
Samples	562	744	93.3691	-1.7981	78.7308	-1.9069
Samples	1578	750	93.3691	-1.7981	78.7308	-1.9069
Samples	1578	750	93.7716	-1.5484	79.2027	-1.8545
Samples	1578	750	94.2030	-1.3968	79.6232	-2.0907
Samples	1578	750	94.6718	-1.4385	80.0683	-2.2719
Samples	1578	750	95.0884	-1.2056	80.5468	-2.1839
Samples	1578	750	95.4639	-0.9017	81.0035	-2.0063
Samples	1578	750	95.8102	-0.5645	81.4856	-1.9749
Samples	1578	750	96.2337	-0.3389	81.9625	-2.0992
Samples	1578	750	96.7005	-0.2138	82.4293	-2.2525
Samples	1578	750	97.1769	-0.1542	82.8695	-2.4730
Samples	1578	750	97.6591	-0.1568	83.3365	-2.6279
Samples	1578	750	98.1335	-0.0800	83.8187	-2.6329
Samples	1578	750	98.5393	0.1733	84.3001	-2.5787
Samples	1578	750	98.9632	0.3954	84.7912	-2.5342
Samples	1578	750	99.3947	0.6105	85.2775	-2.5430
Samples	1578	750	99.8466	0.7642	85.7335	-2.3585
Samples	1578	750	100.2356	1.0515	86.1449	-2.0877
Samples	1578	750	100.5864	1.3843	86.6033	-1.9530
Samples	1578	750	101.0037	1.5963	87.0934	-2.0080
Samples	1578	750	101.4868	1.6217	87.5831	-2.0638
Samples	1578	750	101.9693	1.6474	88.0563	-2.1955
Samples	1578	750	102.4487	1.6157	88.5473	-2.2039
Samples	1578	750	102.9142	1.7462	89.0351	-2.1352
Samples	1578	750	103.3672	1.9152	89.5120	-2.0270
Samples	1578	750	103.7936	2.1334	89.9990	-1.9569
Samples	1578	750	104.2111	2.3774	90.4697	-2.0290
Samples	1578	750	104.6804	2.2767	90.9282	-2.2096
Samples	1578	750	105.1556	2.1961	91.4092	-2.3078
Samples	1578	750	105.6276	2.2809	91.9005	-2.2956
Samples	1578	750	106.0417	2.5192	92.3745	-2.1616
Samples	1578	750	106.4185	2.8225	92.8370	-1.9911
Samples	1578	750	106.8298	3.0765	93.2873	-1.7901
Samples	1578	750	107.2717	3.2675	93.7614	-1.6605
Samples	1578	750	107.7512	3.2930	94.2520	-1.6178
Samples	788+789	649	78.4732	-10.2344	73.8136	-8.3961
Samples	788+789	649	78.9814	-10.2085	74.3077	-8.3542
Samples	788+789	649	79.4737	-10.0774	74.7858	-8.2256
Samples	788+789	649	79.9728	-9.9742	75.2681	-8.1071
Samples	788+789	649	80.4789	-9.9171	75.7539	-8.0048
Samples	788+789	649	80.9868	-9.8746	76.2432	-7.9196
Samples	788+789	649	81.4939	-9.8254	76.7311	-7.8289
Samples	788+789	649	82.0025	-9.8119	77.2251	-7.7930
Samples	788+789	649	82.5002	-9.7402	77.7133	-7.7455
Samples	788+789	649	82.9674	-9.5405	78.1808	-7.5846
Samples	788+789	649	83.4188	-9.3423	78.6305	-7.4220
Samples	788+789	649	83.8510	-9.0825	79.0709	-7.2045
