Samples	117121	1136	48.2533	-0.6133	38.5022	0.6451
Samples	117121	1136	48.6932	-0.3989	38.9707	0.7854
Samples	117121	1136	49.1312	-0.1816	39.4383	0.9275
Samples	117121	1136	49.5622	0.0500	39.9010	1.0867
Samples	117121	1136	49.9890	0.2895	40.3610	1.2532
Samples	117121	1136	50.4492	0.4459	40.8447	1.3018
Samples	117121	1136	50.9075	0.6071	41.3206	1.3952
Samples	117121	1136	51.3770	0.7454	41.8030	1.4777
Samples	117121	1136	51.8562	0.8296	42.2903	1.4837
Samples	117121	1136	52.3384	0.9115	42.7791	1.5066
Samples	117121	1136	52.8087	1.0457	43.2558	1.6106
Samples	117121	1136	53.2951	1.0811	43.7434	1.6345
Samples	117121	1136	53.7819	1.1102	44.2314	1.6390
Samples	117121	1136	54.2692	1.1526	44.7200	1.6634
Samples	117121	1136	54.7552	1.1252	45.2062	1.6178
Samples	117121	1136	55.2429	1.1103	45.6947	1.6247
Samples	117121	1136	55.7256	1.0403	46.1784	1.5615
Samples	117121	1136	56.2110	0.9775	46.6639	1.4992
Samples	117121	1136	56.6888	0.8736	47.1432	1.4016
Samples	117121	1136	57.1663	0.7667	47.6253	1.3184
Samples	117121	1136	57.6486	0.6867	48.1129	1.2842
Samples	117121	1136	58.1351	0.6378	48.6017	1.2657
Samples	117121	1136	58.6070	0.5132	49.0822	1.1787
Samples	117121	1136	59.0511	0.3084	49.5439	1.0174
Samples	117121	1136	59.4859	0.0839	49.9960	0.8305
Samples	117121	1136	59.9617	0.0056	50.4772	0.7857
Samples	117121	1136	60.4416	-0.0795	50.9609	0.7254
Samples	874	997	60.4416	-0.0795	50.9609	0.7254
Samples	874	997	60.8981	-0.2280	51.4311	0.6067
Samples	874	997	61.3703	-0.3327	51.9137	0.5319
Samples	874	997	61.8370	-0.4691	52.3905	0.4145
Samples	874	997	62.3126	-0.5685	52.8742	0.3343
Samples	874	997	62.7905	-0.6506	53.3615	0.2855
Samples	874	997	63.2717	-0.7293	53.8519	0.2445
Samples	874	997	63.7232	-0.9094	54.3177	0.0920
Samples	874	997	64.2007	-0.9981	54.8026	0.0145
Samples	874	997	64.6663	-1.1343	55.2773	-0.1069
Samples	874	997	65.1166	-1.3252	55.7363	-0.2876
Samples	874	997	65.5758	-1.4826	56.1987	-0.4508
Samples	874	997	66.0446	-1.6047	56.6674	-0.5907
Samples	874	997	66.5279	-1.6780	57.1552	-0.6646
Samples	874	997	66.9991	-1.8073	57.6312	-0.7928
Samples	874	997	67.4803	-1.8914	58.1151	-0.8868
Samples	874	997	67.8509	-1.9432	58.6033	-0.9595
Samples	885	1003	67.8348	-1.9985	58.5272	-1.0047
Samples	885	1003	68.2783	-2.1255	58.9816	-1.1251
Samples	885	1003	68.7372	-2.1919	59.4505	-1.1878
Samples	885	1003	69.2021	-2.2578	59.9205	-1.2716
Samples	919	1026	69.1927	-2.2691	59.9165	-1.2766
Samples	919	1026	69.6667	-2.2438	60.4017	-1.2489
Samples	919	1026	70.0867	-2.4802	60.8292	-1.4880
Samples	919	1026	70.5277	-2.6691	61.2688	-1.7047
Samples	919	1026	71.0035	-2.5756	61.7595	-1.6564
Samples	919	1026	71.4539	-2.3865	62.2346	-1.5127
Samples	919	1026	71.9287	-2.2886	62.7231	-1.4396
Samples	919	1026	72.4159	-2.3536	63.2143	-1.5287
Samples	919	1026	72.8976	-2.4433	63.6981	-1.6486
Samples	919	1026	73.3535	-2.6250	64.1538	-1.8518
Samples	919	1026	73.8301	-2.7447	64.6272	-2.0108
Samples	919	1026	74.3116	-2.7275	65.1155	-2.0624
Samples	919	1026	74.7804	-2.6047	65.6036	-1.9767
Samples	919	1026	75.2684	-2.5501	66.1022	-1.9665
Samples	919	1026	75.7550	-2.5434	66.5971	-1.9977
Samples	919	1026	76.2132	-2.3712	67.0826	-1.8888
Samples	919	1026	76.6299	-2.1124	67.5315	-1.6729
Samples	919	1026	77.0602	-1.8822	67.9740	-1.4462
Samples	919	1026	77.5475	-1.9134	68.4669	-1.4498
Samples	919	1026	78.0345	-1.9817	68.9639	-1.5030
Samples	919	1026	78.5076	-2.1078	69.4550	-1.5881
Samples	919	1026	78.9860	-2.2052	69.9444	-1.6689
Samples	919	1026	79.4771	-2.1995	70.4428	-1.6351
Samples	919	1026	79.9625	-2.1333	70.9368	-1.5618
Samples	919	1026	80.4468	-2.0739	71.4228	-1.4641
Samples	919	1026	80.9317	-2.0104	71.9108	-1.3576
Samples	919	1026	81.3897	-2.1882	72.3867	-1.4761
Samples	919	1026	81.8552	-2.3446	72.8590	-1.6378
Samples	919	1026	82.3401	-2.4064	73.3508	-1.7083
