Samples	1153	1242	27.9930	2.4932	18.9886	1.8281
Samples	1153	1242	28.4703	2.5263	19.4786	1.7996
Samples	1153	1242	28.9474	2.5530	19.9684	1.7752
Samples	1153	1242	29.4238	2.5966	20.4590	1.7633
Samples	1153	1242	29.8999	2.6410	20.9498	1.7558
Samples	1153	1242	30.3736	2.5995	21.4289	1.6632
Samples	1153	1242	30.8453	2.5392	21.9032	1.5453
Samples	1153	1242	31.3217	2.5028	22.3862	1.4606
Samples	1153	1242	31.7940	2.4353	22.8642	1.3515
Samples	1153	1242	32.2586	2.3214	23.3280	1.1906
Samples	1153	1242	32.7301	2.2442	23.8015	1.0606
Samples	1153	1242	33.2063	2.2112	24.2876	0.9934
Samples	1153	1242	33.6759	2.1248	24.7612	0.8682
Samples	1153	1242	34.1466	2.0451	25.2411	0.7683
Samples	1153	1242	34.6184	1.9658	25.7176	0.6521
Samples	1153	1242	35.0882	1.8786	26.2023	0.5748
Samples	1153	1242	35.5495	1.7541	26.6780	0.4564
Samples	1153	1242	36.0225	1.6848	27.1684	0.4514
Samples	1153	1242	36.4834	1.5586	27.6561	0.4033
Samples	1153	1242	36.9454	1.4345	28.1442	0.3517
Samples	1153	1242	37.3984	1.2811	28.6291	0.2763
Samples	1153	1242	37.8551	1.1392	29.1136	0.1987
Samples	1153	1242	38.3235	1.0469	29.6029	0.1626
Samples	1153	1242	38.7991	0.9947	30.0938	0.1618
Samples	1153	1242	39.2752	0.9575	30.5834	0.1922
Samples	1153	1242	39.7419	0.8546	31.0734	0.1728
Samples	1153	1242	40.2076	0.7458	31.5591	0.1016
Samples	1153	1242	40.6671	0.6144	32.0395	0.0010
Samples	1153	1242	41.1432	0.6426	32.5242	0.0696
Samples	1153	1242	41.6202	0.6306	33.0128	0.0993
Samples	1170	1249	41.6202	0.6306	33.0128	0.0993
Samples	1170	1249	42.1104	0.5806	33.4981	0.0824
Samples	1170	1249	42.6054	0.5963	33.9868	0.1093
Samples	1170	1249	43.1014	0.5586	34.4769	0.0829
Samples	1170	1249	43.5991	0.5505	34.9691	0.0846
Samples	1170	1249	44.0940	0.5892	35.4557	0.1408
Samples	1170	1249	44.5907	0.6262	35.9448	0.1884
Samples	1170	1249	45.0843	0.5854	36.4332	0.1738
Samples	1170	1249	45.5821	0.5755	36.9247	0.1762
Samples	1170	1249	46.0781	0.5682	37.4132	0.2013
Samples	1170	1249	46.5705	0.4839	37.9025	0.1369
Samples	1170	1249	47.0601	0.3996	38.3885	0.0725
Samples	1170	1249	47.5467	0.3047	38.8706	-0.0118
Samples	1170	1249	48.0462	0.3085	39.3627	0.0213
Samples	1170	1249	48.5427	0.2592	39.8544	-0.0019
Samples	1170	1249	49.0415	0.2425	40.3472	-0.0032
Samples	1170	1249	49.5413	0.2493	40.8403	0.0128
Samples	1175	1255	49.4663	0.1904	40.7692	-0.0499
Samples	1175	1255	49.9200	0.1475	41.2104	-0.0844
Samples	1175	1255	50.3793	0.1649	41.6562	-0.0571
Samples	1175	1255	50.8432	0.1565	42.1096	-0.0474
Samples	1202	1279	50.8432	0.1565	42.1096	-0.0474
Samples	1202	1279	51.3311	0.2491	42.5702	0.0432
Samples	1202	1279	51.7696	0.0080	42.9991	-0.1726
Samples	1202	1279	52.2411	-0.1601	43.4589	-0.3016
Samples	1202	1279	52.7407	-0.0660	43.9247	-0.1588
Samples	1202	1279	53.2148	0.1234	44.3571	0.0712
Samples	1202	1279	53.7196	0.1461	44.8333	0.1545
Samples	1202	1279	54.2200	0.0329	45.3206	0.0855
Samples	1202	1279	54.6951	-0.1544	45.7859	-0.0646
Samples	1202	1279	55.1621	-0.3659	46.2409	-0.2509
Samples	1202	1279	55.6509	-0.5103	46.7154	-0.3671
Samples	1202	1279	56.1521	-0.4252	47.1882	-0.2521
Samples	1202	1279	56.6627	-0.4270	47.6760	-0.2189
Samples	1202	1279	57.1700	-0.4638	48.1622	-0.2218
Samples	1202	1279	57.6784	-0.4376	48.6436	-0.1492
Samples	1202	1279	58.1642	-0.2786	49.0879	0.0578
Samples	1202	1279	58.6477	-0.1197	49.5242	0.2773
Samples	1202	1279	59.1501	-0.2078	50.0105	0.2522
Samples	1202	1279	59.6560	-0.2946	50.5005	0.2009
Samples	1202	1279	60.1516	-0.4225	50.9818	0.1045
Samples	1202	1279	60.6552	-0.5003	51.4675	0.0605
Samples	1202	1279	61.1684	-0.5005	51.9573	0.1098
Samples	1202	1279	61.6759	-0.4446	52.4361	0.2122
Samples	1202	1279	62.1821	-0.3795	52.9123	0.3247
Samples	1202	1279	62.6804	-0.3545	53.3819	0.4050
Samples	1202	1279	63.1433	-0.5754	53.8254	0.1947
Samples	1202	1279	63.6200	-0.7640	54.2788	0.0041
Samples	1202	1279	64.1266	-0.8209	54.7634	-0.0630
Samples	1202	1279	64.6275	-0.7332	55.2434	0.0166
Samples	1202	1279	65.1121	-0.5633	55.7024	0.1955
Samples	1202	1279	65.5899	-0.3756	56.1575	0.3841
Samples	1202	1279	66.0828	-0.2376	56.6305	0.5153
Samples	1202	1279	66.5932	-0.2446	57.1191	0.4857
Samples	1207	1284	66.5932	-0.2446	57.1191	0.4857
Samples	1207	1284	67.0865	-0.1797	57.5964	0.5407
Samples	1207	1284	67.5711	-0.0941	58.0656	0.6086
Samples	1207	1284	68.0727	-0.1124	58.5500	0.5711
Samples	1207	1284	68.5326	-0.3035	58.9828	0.3578
